*bruski	browbeat
fordissolvi	to fade out
fordonaci	to give away
fordoni	to abandon, give away, give up
fordoni sin	to abandon oneself
fordoni sin al	indulge in
fordoniĝi	to abandon oneself
fordono	abandonment, renunciation
fordrinki	to drink away
fordrivi	to drift away
fore	afar, afield, far, far away, remotely
foreco	remoteness
foresi	to be absent
foresta	absent
forestanta	absent
forestantado	absenteeism
forestanteco	absenteeism
forestantismo	absenteeism
forestantlisto	attendance register
forestanto	absentee
foreste	in one's absence / in one’s absence
foreste de	in the absence of
foresteco	absence, non-attendance
foresti	be absent, be missing
forestigi	to remove, send away, make absent
foresto	absence
forestoado	absence
forfadiĝi	to fade away
forfali	to drop out (of a course)
forfandi	to dissipate, disappear, melt (away)
forfandiĝi	to melt, melt away
forfikolo	earwig
forfikulo	earwig
forflankiĝi	to go astray, stray off
forflugi	to fly away
forflui	to flow down, flow off
forfluigi	drain
forfluo	receding tide, reflux
forfluo kaj alfluo	ebb and flow
forforeski	to phosphoresce
forfosi	to dig off, level
forfrotiĝo	attrition
forgesa	forgetful, oblivious
forgese	forgetfully
forgeseco	forgetfulness
forgesema	forgetful
forgesi	to forget
forgesigi	to make someone forget
forgeso	oblivion
forgesu	cancel, dismiss, forget
forgesujo	bit bucket
forgliti desur fingro	to slip off one’s finger
forgluti	to swallow
forhavi	to do without
fori	to absent oneself, be away
foriga	delete
foriga klavo	delete button, delete key
foriga peto	delete query
forigi	do away with, get rid of, remove
forigi la manĝilaron	clear away, remove the cloth / to clear the table (of eating utensils, etc.)
forigilo	repellent
forigo	deletion, suppression, abolition
forinto	forint
foriri	absent onself, depart, go away, leave / to absent oneself, depart, go away, leave, set out
foriri malfiere	to slink off
foriro	departure
foriĝi	to wean, alienate
forjetaĵo	rubbish
forkaptanto	abductor
forkapti	to hijack, kidnap
forkapti garantiulojn	to take hostages
forkaptinto	abductor, kidnapper
forkapto	abduction
forkaŝi sin	to abscond
forke	astride
forkego	hay fork, pitchfork, prong
forketo	small fork
forki	to fork
forkiĝi	to bifurcate, branch (off), split (off)
forklini	to parry, ward off
forkliniĝo	aversion
forko	fork
forkomentariigi	comment out
forkomenti	to comment out
forkomerci	to buy, purchase, take over
forkomuniigi	to excommunicate
forkondukado	carrying off, discharge
forkonduki	to divert
forkonduko	carrying off, discharge
forkonfesi	to abjure, renounce, give up
forkonsenti	to relinquish, renounce, waive
forkonsumi	to use up
forkonsumo	depletion
forkosto	wishbone
forksileno	forked catchfly
forktraktoreto	forklift
forkuranteto	truant
forkuranto	fugitive, runaway
forkuregi	to rush away
forkuri	abscond
forkurigi	to make someone run away
forkurinto	deserter
forkuro	evasion, flight
forkvosta mevo	sabine’s gull
forlasavizo	eviction notice
forlasaĵo	omission
forlasi	abandon, forsake, desert, leave, quit
forlasi ĵure	to abjure, forswear, swear off, renounce
forlasinto	abandoner
forlasita	abandoned
forlasiteco	abandonment
forlaso	abandonment
forlavi	to wash away, wash off
forleki	to lick up, lick away
forlesivi	to wash off
forliberigi	to emancipate, free, let go (e.g. a slave)
forloga	repellent, repelling, repulsive
forlogata de	lured away by
forlogaĵo	decoy
forlogi	to decoy, lead astray
forma	formative
formacio	(geological, military) formation
formadapto	shape adaptation
formado	fashioning, forming
formala	formal
formala kodo	dummy code
formala lingvo	artificial language, formal language
formala parametro	dummy argument, formal parameter
formala polinomo	formal polynomial
formala potencoserio	formal power series, formal series
formala serio	formal power series, formal series
formala teksto	dummy text
formala variablo	dummy variable
formalaĵo	formality
formaldehido	formaldehyde
formale	formally
formalino	formalin
formalismaĵo	technicality
formalismo	formalism
formalisto	bureaucrat
formalparametra listo	formal parameter list
formanĝi	eat up
formata	formatting
formatado	formatting
formati	to format
formatigitaj datenoj	data structure
formatilo	formatter
formato	format, size (of a book)
formatpeniko	format paintbrush
forme	in form
formetado	omission
formetejo	shed
formeti	put away, store
formi	to fashion, form, shape
formigo	formation
formikaro	ant colony, army of ants
formikejo	ant hill, ant mound / anthill
formikerinaco	spiny ant-eater
formiki	to have pins and needles
formikleono	antlion
formikmanĝanto	anteater
formikmanĝulo	anteater
formiko	ant, emmet
formikurso	anteater
formilo	mould (pattern for making something)
formingo	phorminx
formiĝi	to form, take shape
formiĝo	formation
formo	form, shape
formo de Backus-Naur	BNF, Backus-Naur form
formodifekti	to deform
formolo	formalin
formorekono	format recognition, pattern recognition
formortado	dying
formortanta	dying out, becoming extinct
formorti	die away, fail / to become extinct, die (away, off, out) fail
formovi	to remove
formovo	shift
formujo	mould
formula	formula
formula breto	formula bar
formular-atribuo	form assignment
formular-stirado	form control
formulara	form
formulara datumaro	form data file
formulara elektilo	form selector
formulara ŝablono	form template
formularatribuo	form assignment
formulardifina	form definition
formulardifina dosiero	form definition file
formulario	blank, form
formularo	blank, form
formularstirado	form control
formuli	to formulate
formulilo	equation builder
formulo	expression, formula
fornaĝanta	adrift
fornaĝi	to swim away
fornego	furnace
fornei	to deny
fornejo	bake house, bakery
forneo	disavowal, disclaimer
fornikso	dome, fornix
forno	furnace, kiln, oven, stove
fornoganto	pot holder
fornomi	to disown
fornosidulo	homebody
foroferi	to relinquish, offer up
forpasadi	to fade
forpasi	march off, retreat, withdraw / pass away
forpaso	disappearance, expiry
forpeladi	to pursue
forpeli	chase away, drive away, expel
forpeli kundividanton	kick peer (torrent)
forpelito	outcast / expellee
forpermesi	to dismiss
forpermeso	furlough, leave, pass (from military service)
forporti	to bring away, carry away / take away
forprenado	stealing
forprenebla	detachable, removable
forpreni	abstract, take away
forpreni la jungilaron de	to unharness
forpreno	seizing, seizure
forprenu	exclude, delete
forpuŝi	to push aside, repel, disgust / repel; disgust
forpuŝo	repulse
forrabi	to abduct, carry off (by force) / kidnap
forrabita	kidnapped
forrabo	abstraction / abduction, rape
forrajdi	to ride off
forreagado	abreaction
forreagi	to abreact / work off
forregali	to put off, send about his business
forresti	to absent oneself
forrevi	to dream away
forrigardi	to look away
forruli	to roll out
forsalti	to bound off, jump away
forsendi	dismiss, turn away
forsendi pretekste	put off, send about his business / to put off, rebuff, stall
forsendi ĝentile	put off, rebuff, send about his business / to put off, rebuff, stall
forsendo	deportation
forsitio	forsythia
forskrapi	to erase
forskui	to shake off
forstari	to stand away, stand back (from)
forstkultivo	forestry
forstkulturo	forestry
forsto	cultivated forest
forstreki	cross out, strike out / to cross out, mark out, cross through, strike out
forstreko	deletion
forstumi	to afforest
forstumo	forestry
forsveni	to faint away
forta	strong
forta nomo	strong name
fortakvo	aqua fortis
fortaĵo	strength, strong point, forte
forte	strongly, earnestly
forteco	force, strength
fortega	lusty, vigorous / violent
fortege	very strongly, violently
fortegeco	vigor
fortego	violence
fortegulo	weight-lifter
fortelo	stall (theatre), armchair
fortempiĝi	to expire, run out, terminate
fortempiĝo	expiry
forteni	to keep at a distance, keep at bay
fortepiano	grand piano, piano, pianoforte
forti	to outrage
fortigaĵo	tonic
fortigi	to consolidate, fortify
fortigilo	tonic, restorative
fortika	firm, robust, sturdy
fortika pasvorto	strong password
fortika tolo	sturdy cloth
fortikaĵeto	fort
fortikaĵo	fortification
fortike	solidly
fortikeco	firmness, robustness, solidity, stability, durability
fortikigi	to fortify / strengthen
fortikulo	hunk
fortimiga	deterrent, forbidding
fortimigi	to deter, discourage, scare (away)
fortimigilo	deterrent
fortimigo	deterrence
fortiri	to withhold / withdraw
fortiĝi	to become strong, strengthen (oneself)
forto	force, strength, vigour / force, strength, vigor, power
fortoj	strengths
fortomanko	helplessness, powerlessness
fortondi	to cut out
fortostreĉo	exertion
fortransi	to pass away
fortranĉi	cut off
fortreso	fortress
fortulo	strong person
fortuna	fortunate
fortune	fortunately
fortuno	fortune
fortuno de komecanto	beginner’s luck
forturni	to detour, turn away
forumaro	netnews, Usenet
forumilo	newsreader
forumo	forum
foruzi	to use up
foruzita	used up
forvagi	to stray
forvaginto	maverick, stray
forvaporiĝi	to evaporate
forvelki	to abort
forvendi	to sell off, liquidate
forveturi	to drive away, drive off
forveturo	departure
forviŝi	delete
forviŝita	wiped away, obliterated
forviŝiĝi	to be expunged, be wiped away
forvojaĝi	to depart, leave, set out
forĉerpi	to exhaust, use up, consume
forĝado	forging
forĝejo	forge, smithy
forĝi	to forge
forĝista	blacksmith’s
forĝisto	smith
forĝmartelo	blacksmith’s hammer
forĝofera	wrought iron
forĝofero	wrought iron
forĝotranĉilo	blacksmith’s chisel
forĵetaĵo	refuse, rubbish, waste
forĵeti	to discard, throw away
forĵetindaĵo	garbage, leavings, refuse, rubbish, waste
forĵeto	disposal
forĵetota tabelo	throwaway sheet
forĵetulo	castaway
forĵuri	to abjure / renounce
forĵuro	abjuration, disavowal, repudiation
forŝovi	to move
forŝoviĝo	shift
forŝovo	shift
forŝteli	to kidnap / steal
forŝteliĝi	to abscond
forŝuti	to pour out
fosado	digging
fosaĵo	hole, ditch, pit
fosbesto	burrowing animal
fosejo	pit
fosfata acido	phosphoric acid
fosfato	phosphate
fosfaturio	phosphaturia
fosfito	phosphite
fosforeska	phosphorescent
fosforeski	glow in the dark / phosphorescent
fosforesko	phosphorescence
fosforo	phosphorus
fosi	dig, grub, spade
fosilia	fossil, fossilized
fosilia energio	fossil energy
fosiliiĝi	to fossilize
fosilio	fossil
fosilo	digging implement, shovel, spade
fosmaŝino	backhoe
foso	pole / ditch
fosto	pole, post, stanchion, stake
fota KD	photo CD
fota k-disko	photo CD
fotad-angulo	angle of field, angle of view
fotadangulo	angle of field, angle of view
fotado	photography
fotaparato	camera
fotaĵo	photo, photograph
fotelo	armchair, easy chair
fotema	fond of taking photos
foti	to photograph
fotil-dentrelo	focusing rail
fotildentrelo	focusing rail
fotilkorpo	camera body
fotilo	camera
fotilsako	camera bag
fotilujo	camera case
fotilĉasio	frame
fotisto	photographer
foto	photo, photograph
foto-KD	photo CD
fotoafiŝo	photoposter
fotoaparato	camera
fotocelilo	viewfinder
fotodermatito	photodermatitis
fotografa	photographic
fotografa aparato	camera
fotografado	photography
fotografarto	photography
fotografaĵo	photograph
fotografi	to photograph
fotografilo	camera
fotografio	photography
fotografisto	photographer
fotografo	act of taking a photograph
fotographo	photograph
fotogravuro	collotype
fotokopii	to photocopy
fotokopiilo	photocopier
fotokopilo	(photo)copier
fotokopio	photoprint
fotokromio	color photography
fotometrio	photometry
fotometro	photometer
fotono	photon
fotoportilo	photowallet
fotopreta	camera-ready
fotopreta printaĵo	camera-ready copy
fotoraportisto	photoreporter
fotosfero	photosphere
fotosintezo	photosynthesis
fotostato	photostat
fototerapio	phototherapy
fototipio	collotype
fotoĉelo	photoelectric cell
fragila	fragile
fragileco	fragility
fragmenta	fragmentary
fragmenti	to fragment
fragmentigi	to break into fragments
fragmentigo	fragmentation
fragmentita	fragmented (files)
fragmentiĝi	to fragment
fragmentiĝo	fragmentation
fragmento	fragment, lump, piece
fragmito	reed
frago	strawberry
fragomarko	birthmark
fragopotentilo	barren strawberry
fragospinaco	Indian paint, strawberry blite, strawberry pigweed
frajejo	breeding pond
fraji	to spawn
frajo	spawn
frajti	to freight / send
frajtletero	official list of quotations, list of prices, way-bill
frajto	freight
frakasi	crush, shatter, smash
frakasiĝebla	breakable, fragile
frakasiĝema	brittle
frakasiĝo	break, fracture
frakcia	fractional
frakcia breto	forward slash, fraction bar
frakcia parto	fractional part
frakcii	to crack, fractionate, split up
frakciigi	to crack, fractionate, split up
frakcikorpo	fraction field, quotient field
frakcio	faction, fraction
frakcistreketo	forward slash, fraction bar
frakcistreko	forward slash, fraction bar
frako	dress-coat, evening dress, tails / dress coat, evening dress, tails
frakseno	ash (tree)
fraksinelo	dittany
fraktalo	fractal
frakturo	fracture
framasona	masonic / Masonic
framasono	freemason, Mason / Freemason, Mason
frambezio	yaws
frambo	raspberry
framboarbusto	raspberry, raspberry bush
frambujo	raspberry bush
framo	frame, framework, substructure, skeleton
franca	French
franca lingvo	French, French language
francaj	French
francino	Frenchwoman, French lady
francio	francium
franciskano	Franciscan
franciumo	francium
franclingva	French-language
franclingvano	French speaker
franco	Frenchman
franda	alluring, attractive, enticing, tempting
frandaĵejo	delicatessen
frandaĵo	delicacy, tidbit, sweet / titbit
frandema	dainty, sweet-toothed
frandi	relish
frandulo	epicure
frandzi	to perform cunnilingus on
frangolo	glossy buckthorn, breaking buckthorn, black dogwood
franka	Frankish
frankfurta	of Frankfurt
frankfurto ĉe majno	Frankfurt am Main
frankfurto ĉe odro	Frankfurt an der Oder
franko	franc
frankolino	francolin
franzi	to eat cunt
franĝharoj	bangs
franĝi	to fringe
franĝipano	almond paste
franĝo	frindge / fringe
frapegi	to thump
frapego	great blow
frapeti	pat, tap
frapeti sur	tap at
frapeto	rap
frapfermi la pordon	to slam the door (shut)
frapfrazo	catchphrase, slogan, catch phrase, tagline
frapi	to hit, knock, strike
frapi laŭte	to knock loudly
frapi sur la pordon	to knock at the door, rap at the door
frapi ĉe la pordo	to knock at the door
frapinstrumento	percussion instrument
frapiĝi	to strike
frapmildigilo	bumper
frapo	knock
frapofingrado	hammer, hammer-on
frapopinĉado	hit and pick
frata	brotherly, fraternal
frataro	brotherhood, confraternity, fraternity
frateca	brotherly, fraternal
frateco	brotherhood, fraternity
fratedzino	brother’s wife, sister-in-law
frateraro	brotherhood, fellowship
fraterkulo	puffin
frateto	little brother
fratidino	niece
fratido	nephew
fratigi	to unite
fratinaro	sisterhood
fratineco	sisterhood
fratino	sister
fratiĝi	to fraternize
fratmortiga	fratricidal
fratmortiginto	fratricide
fratmortigo	fratricide
fratmurda	fratricidal
fratmurdinto	fratricide
fratmurdo	fratricide
frato	brother
fratrio	phratry
fratula	fraternal
fratuleco	fellowship
fratulo	friar
fraza klavaro	syllabic keyboard
frazaro	phrase-book
frazeologio	phraseology
frazero	phrase
frazisto	coaxer, flatterer / sloganeerer
frazo	sentence
fraĉjo	bro
fraŭda	fraudulent
fraŭde	fraudulently
fraŭdi	to defraud, swindle
fraŭdo	fraud
fraŭdulo	hacker
fraŭla	single, unmarried
fraŭleca	celibate
fraŭleco	bachelorhood, celibacy, unmarried state
fraŭlina	single, unmarried
fraŭlino	maiden, Miss, unmarried woman, young lady
fraŭlino[1]	unmarried woman, spinster
fraŭlino[2]	Miss
fraŭlo	bachelor
fraŭlo[1]	bachelor
fregatkapitano	commander
fregato	frigate, frigate bird
frekvenco	frequency
frekvencometro	frequency counter
frekventanto	patron, frequenter, denizen
frekventi	frequent, visit regularly / attend
frekventulo	regular, frequent visitor or guest
fremburi	to stuff
fremda	alien, foreign, strange
fremda adreso	foreign address
fremda komputilo	foreign computer
fremda signo	foreign character
fremda tabelo	foreign table
fremda ŝlosilo	foreign key
fremde	strangely, in a foreign way
fremdigi	to abalienate, alienate
fremdigo	abalienation
fremdiĝi	to become alienated / be alienated
fremdiĝo	becoming strange, becoming foreign
fremdlanda	alien, foreign, offshore, overseas
fremdlandano	foreigner, alien
fremdlande	abroad
fremdlando	foreign country
fremdlingva instruado	foreign language instruction
fremdolando	strange land, foreign country
fremdulino	stranger, female stranger
fremdulo	foreigner, stranger
